CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,MonthlyCharges,TotalCharges,Churn,TenureGroup
C00097,Male,0,No,No,41,Month-to-month,21.88,889.78,0,25-48 months
C00098,Male,0,No,No,56,One year,119.36,6687.1,1,49-72 months
C00099,Male,0,Yes,No,23,Month-to-month,95.61,2190.64,0,13-24 months
C00100,Female,0,No,Yes,67,Two year,54.41,3640.09,0,49-72 months
C00101,Male,0,Yes,Yes,51,Month-to-month,24.39,1234.35,1,49-72 months
C00102,Female,0,No,Yes,10,Month-to-month,78.67,791.91,0,0-12 months
C00103,Male,0,Yes,No,41,Month-to-month,88.73,3641.58,0,25-48 months
C00104,Male,0,No,Yes,10,Month-to-month,85.21,849.26,1,0-12 months
C00105,Female,0,Yes,Yes,71,One year,36.1,2566.47,0,49-72 months
C00106,Female,0,Yes,Yes,52,Month-to-month,20.69,1074.34,1,49-72 months
C00107,Female,0,No,Yes,39,Month-to-month,27.87,1093.38,1,25-48 months
C00108,Female,0,Yes,No,32,Month-to-month,75.06,2397.34,0,25-48 months
C00109,Female,1,Yes,No,53,One year,111.38,5902.81,0,49-72 months
C00110,Male,0,Yes,Yes,68,Month-to-month,51.62,3509.94,1,49-72 months
C00111,Female,1,No,Yes,5,One year,35.82,185.75,0,0-12 months
C00112,Male,0,Yes,No,19,Month-to-month,67.25,1283.11,1,13-24 months
C00113,Female,1,Yes,Yes,33,One year,33.89,1109.37,0,25-48 months
C00114,Female,0,Yes,Yes,43,Month-to-month,56.34,2417.84,0,25-48 months
C00115,Female,0,Yes,No,3,Month-to-month,27.6,87.27,1,0-12 months
C00116,Male,0,No,Yes,60,Month-to-month,82.29,4928.05,0,49-72 months
C00117,Female,0,No,Yes,28,One year,45.79,1285.6,1,25-48 months
C00118,Male,0,No,No,31,Two year,23.81,744.27,0,25-48 months
C00119,Female,0,No,Yes,12,Month-to-month,95.78,1151.93,0,0-12 months
C00120,Male,0,No,Yes,25,One year,31.08,773.11,0,25-48 months
C00121,Male,0,No,Yes,34,Month-to-month,101.42,3446.52,0,25-48 months
C00122,Female,0,No,Yes,28,Month-to-month,84.32,2360.99,1,25-48 months
C00123,Female,0,Yes,Yes,64,Month-to-month,102.19,6539.09,1,49-72 months
C00124,Female,0,No,Yes,70,One year,96.07,6724.14,0,49-72 months
C00125,Female,0,No,Yes,66,Month-to-month,76.16,5018.31,1,49-72 months
C00126,Female,0,No,No,42,Month-to-month,56.45,2362.26,0,25-48 months
C00127,Female,0,No,No,48,One year,38.71,1859.22,0,25-48 months
C00128,Female,1,No,No,65,One year,72.41,4712.71,0,49-72 months
C00129,Female,1,Yes,No,53,One year,58.98,3120.53,0,49-72 months
C00130,Male,0,No,Yes,38,Two year,69.73,2656.02,0,25-48 months
C00131,Female,1,Yes,Yes,42,One year,101.31,4251.76,0,25-48 months
C00132,Female,0,Yes,No,34,Month-to-month,32.84,1122.74,1,25-48 months
C00133,Male,0,Yes,No,19,Two year,60.36,1141.42,0,13-24 months
C00134,Female,0,No,No,18,One year,103.3,1859.16,0,13-24 months
C00135,Female,0,Yes,No,34,Month-to-month,88.42,3012.81,1,25-48 months
C00136,Female,0,No,No,61,One year,46.53,2842.21,1,49-72 months
C00137,Female,0,Yes,Yes,18,Two year,34.3,626.85,0,13-24 months
C00138,Female,0,No,Yes,62,Month-to-month,20.8,1285.49,0,49-72 months
C00139,Female,1,No,No,69,Month-to-month,96.69,6678.07,0,49-72 months
C00140,Male,0,Yes,No,50,One year,114.74,5728.13,0,49-72 months
C00141,Male,0,Yes,Yes,1,Month-to-month,115.31,124.7,0,0-12 months
C00142,Male,0,No,No,34,One year,23.91,803.41,0,25-48 months
C00143,Female,0,Yes,No,53,One year,116.45,6180.78,0,49-72 months
C00144,Female,1,No,No,3,Month-to-month,93.47,271.09,0,0-12 months
C00145,Female,0,Yes,Yes,10,Two year,50.13,506.33,0,0-12 months
C00146,Female,0,No,No,38,Month-to-month,102.35,3892.79,1,25-48 months
C00147,Female,0,No,Yes,22,One year,97.03,2132.25,0,13-24 months
C00148,Female,0,No,No,54,Month-to-month,74.17,4013.37,0,49-72 months
C00149,Male,0,Yes,Yes,16,Two year,37.31,605.7,0,13-24 months
C00150,Female,0,Yes,No,54,Month-to-month,109.15,5901.89,1,49-72 months
C00151,Female,0,Yes,Yes,35,Month-to-month,73.2,2571.89,0,25-48 months
C00152,Male,0,Yes,No,51,Two year,37.08,1892.46,0,49-72 months
C00153,Female,0,Yes,Yes,53,Month-to-month,65.99,3500.17,0,49-72 months
C00154,Male,0,Yes,Yes,35,Month-to-month,84.21,2947.19,1,25-48 months
C00155,Female,1,Yes,No,13,Month-to-month,58.38,767.71,0,13-24 months
C00156,Male,0,No,Yes,4,Two year,101.95,413.33,0,0-12 months
C00157,Male,1,No,Yes,66,One year,96.84,6400.04,1,49-72 months
C00158,Male,0,Yes,No,64,Month-to-month,113.35,7262.14,1,49-72 months
C00159,Male,1,No,No,28,Month-to-month,23.99,666.15,0,25-48 months
C00160,Female,0,Yes,No,58,Two year,102.55,5943.11,0,49-72 months
C00161,Female,0,No,Yes,61,One year,66.52,4064.47,0,49-72 months
C00162,Male,0,No,Yes,2,Month-to-month,60.41,123.77,1,0-12 months
C00163,Male,0,No,Yes,40,Month-to-month,68.01,2723.92,0,25-48 months
C00164,Female,0,No,No,25,One year,118.13,2949.39,0,25-48 months
C00165,Male,1,No,Yes,67,Month-to-month,106.97,7176.17,1,49-72 months
C00166,Female,0,Yes,No,14,One year,41.96,584.51,0,13-24 months
C00167,Male,0,Yes,Yes,36,One year,23.62,855.03,1,25-48 months
C00168,Male,0,Yes,No,24,Month-to-month,24.09,570.94,0,13-24 months
C00169,Male,0,No,Yes,11,One year,63.75,705.37,0,0-12 months
C00170,Female,0,No,No,5,Month-to-month,82.23,409.02,0,0-12 months
C00171,Female,1,No,Yes,71,Month-to-month,99.01,7020.48,1,49-72 months
C00172,Male,0,No,Yes,55,Month-to-month,41.39,2267.7,0,49-72 months
C00173,Female,0,Yes,No,57,One year,91.56,5223.45,1,49-72 months
C00174,Female,0,No,No,1,One year,47.63,40.29,1,0-12 months
C00175,Male,0,Yes,Yes,61,Month-to-month,27.35,1676.94,0,49-72 months
C00176,Female,0,No,No,4,Two year,40.28,166.41,0,0-12 months
C00177,Male,1,Yes,Yes,65,One year,33.14,2155.95,0,49-72 months
C00178,Female,0,Yes,Yes,56,Month-to-month,83.05,4650.61,0,49-72 months
C00179,Female,0,Yes,Yes,66,Month-to-month,70.06,4619.21,0,49-72 months
C00180,Female,0,Yes,No,61,Month-to-month,41.25,2519.99,1,49-72 months
C00181,Female,1,Yes,Yes,42,Month-to-month,40.17,1694.96,0,25-48 months
C00182,Male,0,No,Yes,1,Month-to-month,44.03,41.06,1,0-12 months
C00183,Male,1,Yes,Yes,19,Month-to-month,86.48,1644.46,1,13-24 months
C00184,Female,1,Yes,No,24,Two year,113.84,2732.13,0,13-24 months
C00185,Male,1,Yes,Yes,2,Month-to-month,48.29,93.12,0,0-12 months
C00186,Male,0,No,No,49,Month-to-month,38.32,1878.99,0,49-72 months
C00187,Male,1,Yes,Yes,46,One year,114.16,5252.01,0,25-48 months
C00188,Male,0,Yes,No,69,Two year,51.71,3571.38,0,49-72 months
C00189,Female,0,No,Yes,25,Month-to-month,60.84,1523.22,0,25-48 months
C00190,Female,0,Yes,Yes,64,Two year,60.37,3866.57,0,49-72 months
C00191,Female,0,Yes,Yes,36,Month-to-month,107.61,3871.72,1,25-48 months
C00192,Male,0,No,No,34,Month-to-month,64.03,2184.41,0,25-48 months
C00193,Male,0,No,Yes,59,Month-to-month,88.71,5227.13,0,49-72 months
C00194,Male,0,No,Yes,53,Month-to-month,36.3,1916.97,0,49-72 months
C00195,Female,0,No,Yes,39,Month-to-month,34.78,1364.02,1,25-48 months
C00196,Female,1,Yes,No,32,Month-to-month,62.48,2002.85,1,25-48 months
C00197,Female,0,Yes,No,72,Month-to-month,30.79,2206.95,0,49-72 months
C00198,Male,0,Yes,Yes,46,One year,96.84,4449.85,0,25-48 months
C00199,Male,0,No,No,52,One year,75.35,3921.95,0,49-72 months
C00200,Female,0,Yes,Yes,6,Month-to-month,78.65,465.72,0,0-12 months
C00201,Male,0,No,No,46,Month-to-month,54.92,2518.23,1,25-48 months
C00202,Female,0,No,No,23,Two year,71.55,1637.61,0,13-24 months
C00203,Male,1,No,No,3,Month-to-month,41.05,123.91,1,0-12 months
C00204,Male,0,No,Yes,4,Month-to-month,75.98,311.2,1,0-12 months
C00205,Male,1,Yes,No,56,One year,92.64,5184.03,0,49-72 months
C00206,Female,0,Yes,No,20,Month-to-month,35.98,721.88,1,13-24 months
C00207,Female,0,Yes,No,26,Month-to-month,70.45,1841.19,1,25-48 months
C00208,Male,0,Yes,Yes,43,Month-to-month,31.84,1369.96,1,25-48 months
C00209,Male,0,No,No,72,Month-to-month,63.52,4565.4,0,49-72 months
C00210,Male,0,No,No,65,Month-to-month,52.3,3393.15,1,49-72 months
C00211,Male,1,Yes,No,8,Two year,101.49,808.02,0,0-12 months
C00212,Female,0,Yes,No,14,Month-to-month,41.56,575.02,1,13-24 months
C00213,Male,0,No,Yes,61,Two year,29.58,1801.24,0,49-72 months
C00214,Male,1,Yes,No,53,One year,63.57,3369.32,0,49-72 months
C00215,Female,0,No,No,18,Month-to-month,83.12,1494.48,0,13-24 months
C00216,Male,0,Yes,No,49,Month-to-month,73.23,3584.45,1,49-72 months
C00217,Male,0,No,Yes,41,Month-to-month,30.08,1242.39,1,25-48 months
C00218,Male,0,Yes,Yes,49,Two year,32.86,1615.66,0,49-72 months
C00219,Female,0,No,Yes,65,One year,93.66,6092.94,1,49-72 months
C00220,Female,1,Yes,No,68,One year,94.23,6401.55,0,49-72 months
C00221,Male,0,No,No,29,One year,118.92,3446.01,1,25-48 months
C00222,Male,0,Yes,Yes,69,Month-to-month,60.02,4150.48,0,49-72 months
C00223,Female,0,Yes,No,15,Month-to-month,25.75,377.35,1,13-24 months
C00224,Male,0,No,Yes,17,Month-to-month,110.56,1878.65,1,13-24 months
C00225,Male,0,No,No,2,Month-to-month,62.82,120.51,0,0-12 months
C00226,Female,0,No,No,16,Month-to-month,66.82,1071.6,1,13-24 months
C00227,Female,0,No,Yes,36,Two year,81.77,2943.37,0,25-48 months
C00228,Female,0,Yes,No,54,One year,55.2,2986.95,1,49-72 months
C00229,Female,1,Yes,No,20,Month-to-month,73.12,1452.7,0,13-24 months
C00230,Female,0,No,No,24,Month-to-month,79.11,1889.36,0,13-24 months
C00231,Male,0,No,No,16,Month-to-month,22.48,358.31,1,13-24 months
C00232,Female,1,Yes,No,37,Month-to-month,69.32,2572.23,0,25-48 months
C00233,Female,0,Yes,Yes,14,Month-to-month,80.31,1124.03,0,13-24 months
C00234,Male,0,No,No,12,One year,35.48,432.67,0,0-12 months
C00235,Female,0,Yes,Yes,26,Month-to-month,39.92,1045.66,0,25-48 months
C00236,Male,0,No,No,66,Two year,105.44,6960.47,0,49-72 months
C00237,Female,0,No,No,42,Month-to-month,30.6,1280.89,0,25-48 months
C00238,Male,0,Yes,Yes,58,Month-to-month,26.54,1541.2,1,49-72 months
C00239,Female,0,Yes,Yes,45,Two year,116.67,5243.95,0,25-48 months
C00240,Female,0,No,Yes,8,Month-to-month,54.86,438.87,1,0-12 months
C00241,Male,0,No,No,54,Month-to-month,32.23,1731.94,1,49-72 months
C00242,Female,0,No,Yes,56,Two year,84.17,4706.14,0,49-72 months
C00243,Male,0,Yes,No,17,Two year,23.37,392.11,0,13-24 months
C00244,Female,0,No,Yes,19,One year,97.32,1846.97,0,13-24 months
C00245,Male,0,Yes,No,68,Month-to-month,42.27,2870.27,1,49-72 months
C00246,Female,0,No,No,43,One year,59.62,2555.76,0,25-48 months
C00247,Male,0,Yes,Yes,62,Two year,58.4,3611.1,1,49-72 months
C00248,Female,0,Yes,Yes,67,Month-to-month,106.96,7161.4,0,49-72 months
C00249,Female,0,No,No,58,Month-to-month,107.36,6222.45,0,49-72 months
C00250,Female,0,Yes,No,7,Two year,77.01,533.46,0,0-12 months
C00251,Male,1,Yes,No,1,Month-to-month,112.47,120.89,1,0-12 months
C00252,Female,0,Yes,No,70,Two year,79.7,5571.84,0,49-72 months
C00253,Female,0,Yes,No,33,Month-to-month,24.13,790.09,0,25-48 months
C00254,Female,0,Yes,No,52,One year,63.88,3318.61,0,49-72 months
C00255,Male,0,Yes,No,62,One year,34.95,2171.91,1,49-72 months
C00256,Female,0,No,No,34,Month-to-month,34.2,1152.89,1,25-48 months
C00257,Female,0,Yes,Yes,54,Two year,103.39,5589.24,0,49-72 months
C00258,Female,0,Yes,Yes,24,Month-to-month,24.95,589.29,0,13-24 months
C00259,Male,0,No,No,62,Two year,99.88,6191.74,0,49-72 months
C00260,Male,0,No,No,35,One year,99.19,3467.4,0,25-48 months
C00261,Male,0,Yes,Yes,44,Two year,105.12,4616.33,1,25-48 months
C00262,Female,0,Yes,No,21,Month-to-month,21.29,440.13,1,13-24 months
C00263,Male,1,Yes,Yes,45,Month-to-month,26.89,1218.63,0,25-48 months
C00264,Female,1,Yes,Yes,33,Month-to-month,51.9,1708.07,0,25-48 months
C00265,Female,0,No,No,22,Month-to-month,22.16,495.35,0,13-24 months
C00266,Female,0,No,No,43,Month-to-month,111.48,4801.46,1,25-48 months
C00267,Female,1,Yes,Yes,36,One year,106.3,3828.12,0,25-48 months
C00268,Male,0,Yes,Yes,52,Month-to-month,50.05,2594.75,1,49-72 months
C00269,Male,0,Yes,Yes,18,Month-to-month,44.63,807.8,1,13-24 months
C00270,Female,0,No,No,61,Two year,26.15,1593.13,0,49-72 months
C00271,Male,0,Yes,No,51,Month-to-month,60.93,3111.74,0,49-72 months
C00272,Female,0,Yes,No,45,Month-to-month,100.25,4506.26,0,25-48 months
C00273,Male,0,Yes,No,10,Month-to-month,110.16,1099.37,0,0-12 months
C00274,Male,1,Yes,No,24,Month-to-month,70.27,1695.46,1,13-24 months
C00275,Male,0,Yes,No,16,Month-to-month,83.99,1339.37,0,13-24 months
C00276,Male,0,No,Yes,52,One year,42.6,2215.88,0,49-72 months
C00277,Male,0,Yes,Yes,34,Month-to-month,34.81,1174.31,1,25-48 months
C00278,Female,0,Yes,No,14,Two year,22.72,308.93,0,13-24 months
C00279,Male,1,Yes,Yes,50,Month-to-month,46.89,2347.54,1,49-72 months
C00280,Male,0,Yes,No,10,Month-to-month,51.2,509.07,0,0-12 months
C00281,Male,0,No,No,43,Two year,89.93,3873.51,0,25-48 months
C00282,Male,0,No,Yes,38,Two year,103.87,3956.23,0,25-48 months
C00283,Female,0,Yes,Yes,11,One year,78.79,872.91,0,0-12 months
C00284,Female,0,No,No,48,One year,68.44,3290.74,0,25-48 months
C00285,Male,0,No,Yes,18,Month-to-month,43.83,792.03,0,13-24 months
C00286,Female,1,No,No,12,Month-to-month,54.62,658.32,1,0-12 months
C00287,Male,0,No,No,1,One year,88.96,82.89,0,0-12 months
C00288,Male,0,Yes,No,5,One year,93.33,473.94,1,0-12 months
C00289,Female,1,No,Yes,50,Two year,96.73,4842.94,0,49-72 months
C00290,Female,1,Yes,No,16,Month-to-month,37.85,598.48,0,13-24 months
C00291,Male,0,No,No,1,One year,108.6,105.11,1,0-12 months
C00292,Male,0,No,No,66,Month-to-month,42.42,2809.61,1,49-72 months
C00293,Female,0,Yes,No,7,One year,37.98,260.38,0,0-12 months
C00294,Female,0,No,Yes,62,One year,46.45,2885.87,0,49-72 months
C00295,Female,0,Yes,Yes,28,Two year,91.55,2558.55,0,25-48 months
C00296,Female,1,Yes,Yes,50,Month-to-month,22.18,1114.33,0,49-72 months
C00297,Male,0,Yes,Yes,60,Two year,117.76,7063.3,0,49-72 months
C00298,Male,0,Yes,No,28,One year,98.9,2771.05,0,25-48 months
C00299,Female,0,Yes,Yes,63,Month-to-month,117.39,7404.6,0,49-72 months
C00300,Male,0,No,Yes,66,Month-to-month,99.01,6534.47,1,49-72 months
C00301,Male,0,Yes,No,26,One year,43.16,1126.07,0,25-48 months
C00302,Female,1,No,Yes,70,Month-to-month,35.01,2455.28,0,49-72 months
C00303,Male,1,No,No,30,Two year,40.8,1230.92,0,25-48 months
C00304,Female,0,Yes,Yes,37,Two year,31.22,1159.57,0,25-48 months
C00305,Female,0,Yes,Yes,56,Two year,95.13,5332.11,0,49-72 months
C00306,Female,0,No,No,70,Month-to-month,31.96,2227.48,0,49-72 months
C00307,Female,0,No,Yes,55,Month-to-month,34.14,1868.2,0,49-72 months
C00308,Male,0,Yes,Yes,59,Two year,65.44,3863.12,0,49-72 months
C00309,Male,1,No,No,3,Month-to-month,66.39,189.26,1,0-12 months
C00310,Female,1,Yes,Yes,52,Month-to-month,112.44,5837.49,0,49-72 months
C00311,Male,1,Yes,No,23,Month-to-month,69.46,1598.22,0,13-24 months
C00312,Male,1,No,No,71,One year,62.69,4444.43,0,49-72 months
C00313,Female,0,No,No,69,One year,43.51,3001.93,1,49-72 months
C00314,Female,0,Yes,No,15,Month-to-month,44.93,683.57,0,13-24 months
C00315,Female,0,No,No,51,One year,34.76,1774.95,0,49-72 months
C00316,Male,0,No,Yes,19,Month-to-month,58.57,1105.41,0,13-24 months
C00317,Female,0,Yes,Yes,67,Month-to-month,88.16,5912.26,1,49-72 months
C00318,Female,0,Yes,No,7,Two year,91.24,633.26,0,0-12 months
C00319,Male,0,Yes,Yes,14,Month-to-month,85.7,1206.52,0,13-24 months
C00320,Male,0,No,Yes,70,Month-to-month,84.93,5947.15,1,49-72 months
C00321,Male,0,No,No,60,One year,80.66,4833.56,0,49-72 months
C00322,Male,0,Yes,No,15,One year,90.08,1347.38,0,13-24 months
C00323,Male,0,Yes,No,30,Two year,53.19,1588.33,0,25-48 months
C00324,Male,0,No,Yes,51,Month-to-month,84.04,4283.14,0,49-72 months
C00325,Female,0,No,No,13,Month-to-month,60.91,792.09,0,13-24 months
C00326,Female,1,Yes,Yes,53,Month-to-month,65.42,3469.4,1,49-72 months
C00327,Male,0,Yes,Yes,66,Month-to-month,82.05,5419.81,1,49-72 months
C00328,Male,0,No,No,3,Month-to-month,111.85,331.77,1,0-12 months
C00329,Male,0,No,No,63,One year,58.68,3694.92,0,49-72 months
C00330,Female,0,Yes,No,28,Month-to-month,100.7,2818.36,0,25-48 months
C00331,Female,0,No,No,39,Two year,37.04,1437.97,0,25-48 months
C00332,Female,0,No,No,62,Month-to-month,88.85,5516.99,0,49-72 months
C00333,Female,0,No,Yes,40,Month-to-month,119.72,4783.7,1,25-48 months
C00334,Female,0,Yes,No,18,One year,85.36,1532.68,0,13-24 months
C00335,Male,0,No,No,9,Month-to-month,64.34,583.33,0,0-12 months
C00336,Male,0,Yes,No,51,Month-to-month,55.76,2835.81,1,49-72 months
C00337,Male,0,Yes,Yes,18,Month-to-month,49.1,878,1,13-24 months
C00338,Female,0,Yes,Yes,59,Month-to-month,103.5,6108.96,1,49-72 months
C00339,Male,0,No,No,26,Month-to-month,65.95,1720.54,0,25-48 months
C00340,Female,0,No,No,28,Month-to-month,46.18,1285.68,0,25-48 months
C00341,Female,0,Yes,Yes,2,Month-to-month,99.74,203.11,0,0-12 months
C00342,Female,0,Yes,Yes,25,One year,48.99,1217.57,0,25-48 months
C00343,Male,1,Yes,Yes,72,Month-to-month,27.34,1970.59,0,49-72 months
C00344,Male,1,Yes,Yes,54,Month-to-month,65.04,3520.54,1,49-72 months
C00345,Female,0,No,No,31,Two year,107.66,3334.87,0,25-48 months
C00346,Male,0,No,No,17,One year,23.91,413.94,0,13-24 months
C00347,Male,0,No,Yes,12,Month-to-month,36.77,445.17,0,0-12 months
C00348,Female,0,Yes,Yes,21,Two year,70.36,1483.69,0,13-24 months
C00349,Female,0,Yes,Yes,38,Month-to-month,82.85,3152.58,1,25-48 months
C00350,Male,0,No,No,12,One year,38.48,467,0,0-12 months
C00351,Male,0,Yes,No,30,Month-to-month,84.61,2530.79,0,25-48 months
C00352,Female,0,No,No,47,Month-to-month,27.56,1291.4,1,25-48 months
C00353,Male,0,No,No,40,Two year,108.83,4350.69,0,25-48 months
C00354,Female,0,Yes,No,67,Two year,103.61,6943.34,0,49-72 months
