CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,MonthlyCharges,TotalCharges,Churn
C00117,Female,0,No,Yes,28,One year,45.79,1285.6,Yes
C00118,Male,0,No,No,31,Two year,23.81,744.27,No
C00119,Female,0,No,Yes,12,Month-to-month,95.78,1151.93,No
C00120,Male,0,No,Yes,25,One year,31.08,773.11,No
C00121,Male,0,No,Yes,34,Month-to-month,101.42,3446.52,No
C00122,Female,0,No,Yes,28,Month-to-month,84.32,2360.99,Yes
C00123,Female,0,Yes,Yes,64,Month-to-month,102.19,6539.09,Yes
C00124,Female,0,No,Yes,70,One year,96.07,6724.14,No
C00125,Female,0,No,Yes,66,Month-to-month,76.16,5018.31,Yes
C00126,Female,0,No,No,42,Month-to-month,56.45,2362.26,No
C00127,Female,0,No,No,48,One year,38.71,1859.22,No
C00128,Female,1,No,No,65,One year,72.41,4712.71,No
C00129,Female,1,Yes,No,53,One year,58.98,3120.53,No
C00130,Male,0,No,Yes,38,Two year,69.73,2656.02,No
C00131,Female,1,Yes,Yes,42,One year,101.31,4251.76,No
C00132,Female,0,Yes,No,34,Month-to-month,32.84,1122.74,Yes
C00133,Male,0,Yes,No,19,Two year,60.36,1141.42,No
C00134,Female,0,No,No,18,One year,103.3,1859.16,No
C00135,Female,0,Yes,No,34,Month-to-month,88.42,3012.81,Yes
C00136,Female,0,No,No,61,One year,46.53,2842.21,Yes
C00137,Female,0,Yes,Yes,18,Two year,34.3,626.85,No
C00138,Female,0,No,Yes,62,Month-to-month,20.8,1285.49,No
C00139,Female,1,No,No,69,Month-to-month,96.69,6678.07,No
C00140,Male,0,Yes,No,50,One year,114.74,5728.13,No
C00141,Male,0,Yes,Yes,1,Month-to-month,115.31,124.7,No
C00142,Male,0,No,No,34,One year,23.91,803.41,No
C00143,Female,0,Yes,No,53,One year,116.45,6180.78,No
C00144,Female,1,No,No,3,Month-to-month,93.47,271.09,No
C00145,Female,0,Yes,Yes,10,Two year,50.13,506.33,No
C00146,Female,0,No,No,38,Month-to-month,102.35,3892.79,Yes
C00147,Female,0,No,Yes,22,One year,97.03,2132.25,No
C00148,Female,0,No,No,54,Month-to-month,74.17,4013.37,No
C00149,Male,0,Yes,Yes,16,Two year,37.31,605.7,No
C00150,Female,0,Yes,No,54,Month-to-month,109.15,5901.89,Yes
C00151,Female,0,Yes,Yes,35,Month-to-month,73.2,2571.89,No
C00152,Male,0,Yes,No,51,Two year,37.08,1892.46,No
C00153,Female,0,Yes,Yes,53,Month-to-month,65.99,3500.17,No
C00154,Male,0,Yes,Yes,35,Month-to-month,84.21,2947.19,Yes
C00155,Female,1,Yes,No,13,Month-to-month,58.38,767.71,No
C00156,Male,0,No,Yes,4,Two year,101.95,413.33,No
C00157,Male,1,No,Yes,66,One year,96.84,6400.04,Yes
C00158,Male,0,Yes,No,64,Month-to-month,113.35,7262.14,Yes
C00159,Male,1,No,No,28,Month-to-month,23.99,666.15,No
C00160,Female,0,Yes,No,58,Two year,102.55,5943.11,No
C00161,Female,0,No,Yes,61,One year,66.52,4064.47,No
C00162,Male,0,No,Yes,2,Month-to-month,60.41,123.77,Yes
C00163,Male,0,No,Yes,40,Month-to-month,68.01,2723.92,No
C00164,Female,0,No,No,25,One year,118.13,2949.39,No
C00165,Male,1,No,Yes,67,Month-to-month,106.97,7176.17,Yes
C00166,Female,0,Yes,No,14,One year,41.96,584.51,No
C00167,Male,0,Yes,Yes,36,One year,23.62,855.03,Yes
C00168,Male,0,Yes,No,24,Month-to-month,24.09,570.94,No
C00169,Male,0,No,Yes,11,One year,63.75,705.37,No
C00170,Female,0,No,No,5,Month-to-month,82.23,409.02,No
C00171,Female,1,No,Yes,71,Month-to-month,99.01,7020.48,Yes
C00172,Male,0,No,Yes,55,Month-to-month,41.39,2267.7,No
C00173,Female,0,Yes,No,57,One year,91.56,5223.45,Yes
C00174,Female,0,No,No,1,One year,47.63,40.29,Yes
C00175,Male,0,Yes,Yes,61,Month-to-month,27.35,1676.94,No
C00176,Female,0,No,No,4,Two year,40.28,166.41,No
C00177,Male,1,Yes,Yes,65,One year,33.14,2155.95,No
C00178,Female,0,Yes,Yes,56,Month-to-month,83.05,4650.61,No
C00179,Female,0,Yes,Yes,66,Month-to-month,70.06,4619.21,No
C00180,Female,0,Yes,No,61,Month-to-month,41.25,2519.99,Yes
C00181,Female,1,Yes,Yes,42,Month-to-month,40.17,1694.96,No
C00182,Male,0,No,Yes,1,Month-to-month,44.03,41.06,Yes
C00183,Male,1,Yes,Yes,19,Month-to-month,86.48,1644.46,Yes
C00184,Female,1,Yes,No,24,Two year,113.84,2732.13,No
C00185,Male,1,Yes,Yes,2,Month-to-month,48.29,93.12,No
C00186,Male,0,No,No,49,Month-to-month,38.32,1878.99,No
C00187,Male,1,Yes,Yes,46,One year,114.16,5252.01,No
C00188,Male,0,Yes,No,69,Two year,51.71,3571.38,No
C00189,Female,0,No,Yes,25,Month-to-month,60.84,1523.22,No
C00190,Female,0,Yes,Yes,64,Two year,60.37,3866.57,No
C00191,Female,0,Yes,Yes,36,Month-to-month,107.61,3871.72,Yes
C00192,Male,0,No,No,34,Month-to-month,64.03,2184.41,No
C00193,Male,0,No,Yes,59,Month-to-month,88.71,5227.13,No
C00194,Male,0,No,Yes,53,Month-to-month,36.3,1916.97,No
C00195,Female,0,No,Yes,39,Month-to-month,34.78,1364.02,Yes
C00196,Female,1,Yes,No,32,Month-to-month,62.48,2002.85,Yes
C00197,Female,0,Yes,No,72,Month-to-month,30.79,2206.95,No
C00198,Male,0,Yes,Yes,46,One year,96.84,4449.85,No
C00199,Male,0,No,No,52,One year,75.35,3921.95,No
C00200,Female,0,Yes,Yes,6,Month-to-month,78.65,465.72,No
C00201,Male,0,No,No,46,Month-to-month,54.92,2518.23,Yes
C00202,Female,0,No,No,23,Two year,71.55,1637.61,No
C00203,Male,1,No,No,3,Month-to-month,41.05,123.91,Yes
C00204,Male,0,No,Yes,4,Month-to-month,75.98,311.2,Yes
C00205,Male,1,Yes,No,56,One year,92.64,5184.03,No
C00206,Female,0,Yes,No,20,Month-to-month,35.98,721.88,Yes
C00207,Female,0,Yes,No,26,Month-to-month,70.45,1841.19,Yes
C00208,Male,0,Yes,Yes,43,Month-to-month,31.84,1369.96,Yes
C00209,Male,0,No,No,72,Month-to-month,63.52,4565.4,No
C00210,Male,0,No,No,65,Month-to-month,52.3,3393.15,Yes
C00211,Male,1,Yes,No,8,Two year,101.49,808.02,No
C00212,Female,0,Yes,No,14,Month-to-month,41.56,575.02,Yes
C00213,Male,0,No,Yes,61,Two year,29.58,1801.24,No
C00214,Male,1,Yes,No,53,One year,63.57,3369.32,No
C00215,Female,0,No,No,18,Month-to-month,83.12,1494.48,No
C00216,Male,0,Yes,No,49,Month-to-month,73.23,3584.45,Yes
C00217,Male,0,No,Yes,41,Month-to-month,30.08,1242.39,Yes
C00218,Male,0,Yes,Yes,49,Two year,32.86,1615.66,No
C00219,Female,0,No,Yes,65,One year,93.66,6092.94,Yes
C00220,Female,1,Yes,No,68,One year,94.23,6401.55,No
C00221,Male,0,No,No,29,One year,118.92,3446.01,Yes
C00222,Male,0,Yes,Yes,69,Month-to-month,60.02,4150.48,No
C00223,Female,0,Yes,No,15,Month-to-month,25.75,377.35,Yes
C00224,Male,0,No,Yes,17,Month-to-month,110.56,1878.65,Yes
C00225,Male,0,No,No,2,Month-to-month,62.82,120.51,No
C00226,Female,0,No,No,16,Month-to-month,66.82,1071.6,Yes
C00227,Female,0,No,Yes,36,Two year,81.77,2943.37,No
C00228,Female,0,Yes,No,54,One year,55.2,2986.95,Yes
C00229,Female,1,Yes,No,20,Month-to-month,73.12,1452.7,No
C00230,Female,0,No,No,24,Month-to-month,79.11,1889.36,No
C00231,Male,0,No,No,16,Month-to-month,22.48,358.31,Yes
C00232,Female,1,Yes,No,37,Month-to-month,69.32,2572.23,No
C00233,Female,0,Yes,Yes,14,Month-to-month,80.31,1124.03,No
C00234,Male,0,No,No,12,One year,35.48,432.67,No
C00235,Female,0,Yes,Yes,26,Month-to-month,39.92,1045.66,No
C00236,Male,0,No,No,66,Two year,105.44,6960.47,No
C00237,Female,0,No,No,42,Month-to-month,30.6,1280.89,No
C00238,Male,0,Yes,Yes,58,Month-to-month,26.54,1541.2,Yes
C00239,Female,0,Yes,Yes,45,Two year,116.67,5243.95,No
C00240,Female,0,No,Yes,8,Month-to-month,54.86,438.87,Yes
C00241,Male,0,No,No,54,Month-to-month,32.23,1731.94,Yes
C00242,Female,0,No,Yes,56,Two year,84.17,4706.14,No
C00243,Male,0,Yes,No,17,Two year,23.37,392.11,No
C00244,Female,0,No,Yes,19,One year,97.32,1846.97,No
C00245,Male,0,Yes,No,68,Month-to-month,42.27,2870.27,Yes
C00246,Female,0,No,No,43,One year,59.62,2555.76,No
C00247,Male,0,Yes,Yes,62,Two year,58.4,3611.1,Yes
C00248,Female,0,Yes,Yes,67,Month-to-month,106.96,7161.4,No
C00249,Female,0,No,No,58,Month-to-month,107.36,6222.45,No
C00250,Female,0,Yes,No,7,Two year,77.01,533.46,No
C00251,Male,1,Yes,No,1,Month-to-month,112.47,120.89,Yes
C00252,Female,0,Yes,No,70,Two year,79.7,5571.84,No
C00253,Female,0,Yes,No,33,Month-to-month,24.13,790.09,No
C00254,Female,0,Yes,No,52,One year,63.88,3318.61,No
C00255,Male,0,Yes,No,62,One year,34.95,2171.91,Yes
C00256,Female,0,No,No,34,Month-to-month,34.2,1152.89,Yes
C00257,Female,0,Yes,Yes,54,Two year,103.39,5589.24,No
C00258,Female,0,Yes,Yes,24,Month-to-month,24.95,589.29,No
C00259,Male,0,No,No,62,Two year,99.88,6191.74,No
C00260,Male,0,No,No,35,One year,99.19,3467.4,No
C00261,Male,0,Yes,Yes,44,Two year,105.12,4616.33,Yes
C00262,Female,0,Yes,No,21,Month-to-month,21.29,440.13,Yes
C00263,Male,1,Yes,Yes,45,Month-to-month,26.89,1218.63,No
C00264,Female,1,Yes,Yes,33,Month-to-month,51.9,1708.07,No
C00265,Female,0,No,No,22,Month-to-month,22.16,495.35,No
C00266,Female,0,No,No,43,Month-to-month,111.48,4801.46,Yes
C00267,Female,1,Yes,Yes,36,One year,106.3,3828.12,No
C00268,Male,0,Yes,Yes,52,Month-to-month,50.05,2594.75,Yes
C00269,Male,0,Yes,Yes,18,Month-to-month,44.63,807.8,Yes
C00270,Female,0,No,No,61,Two year,26.15,1593.13,No
C00271,Male,0,Yes,No,51,Month-to-month,60.93,3111.74,No
C00272,Female,0,Yes,No,45,Month-to-month,100.25,4506.26,No
C00273,Male,0,Yes,No,10,Month-to-month,110.16,1099.37,No
C00274,Male,1,Yes,No,24,Month-to-month,70.27,1695.46,Yes
C00275,Male,0,Yes,No,16,Month-to-month,83.99,1339.37,No
C00276,Male,0,No,Yes,52,One year,42.6,2215.88,No
C00277,Male,0,Yes,Yes,34,Month-to-month,34.81,1174.31,Yes
C00278,Female,0,Yes,No,14,Two year,22.72,308.93,No
C00279,Male,1,Yes,Yes,50,Month-to-month,46.89,2347.54,Yes
C00280,Male,0,Yes,No,10,Month-to-month,51.2,509.07,No
C00281,Male,0,No,No,43,Two year,89.93,3873.51,No
C00282,Male,0,No,Yes,38,Two year,103.87,3956.23,No
C00283,Female,0,Yes,Yes,11,One year,78.79,872.91,No
C00284,Female,0,No,No,48,One year,68.44,3290.74,No
C00285,Male,0,No,Yes,18,Month-to-month,43.83,792.03,No
C00286,Female,1,No,No,12,Month-to-month,54.62,658.32,Yes
C00287,Male,0,No,No,1,One year,88.96,82.89,No
C00288,Male,0,Yes,No,5,One year,93.33,473.94,Yes
C00289,Female,1,No,Yes,50,Two year,96.73,4842.94,No
C00290,Female,1,Yes,No,16,Month-to-month,37.85,598.48,No
C00291,Male,0,No,No,1,One year,108.6,105.11,Yes
C00292,Male,0,No,No,66,Month-to-month,42.42,2809.61,Yes
C00293,Female,0,Yes,No,7,One year,37.98,260.38,No
C00294,Female,0,No,Yes,62,One year,46.45,2885.87,No
C00295,Female,0,Yes,Yes,28,Two year,91.55,2558.55,No
C00296,Female,1,Yes,Yes,50,Month-to-month,22.18,1114.33,No
C00297,Male,0,Yes,Yes,60,Two year,117.76,7063.3,No
C00298,Male,0,Yes,No,28,One year,98.9,2771.05,No
C00299,Female,0,Yes,Yes,63,Month-to-month,117.39,7404.6,No
C00300,Male,0,No,Yes,66,Month-to-month,99.01,6534.47,Yes
C00301,Male,0,Yes,No,26,One year,43.16,1126.07,No
C00302,Female,1,No,Yes,70,Month-to-month,35.01,2455.28,No
C00303,Male,1,No,No,30,Two year,40.8,1230.92,No
C00304,Female,0,Yes,Yes,37,Two year,31.22,1159.57,No
C00305,Female,0,Yes,Yes,56,Two year,95.13,5332.11,No
C00306,Female,0,No,No,70,Month-to-month,31.96,2227.48,No
C00307,Female,0,No,Yes,55,Month-to-month,34.14,1868.2,No
C00308,Male,0,Yes,Yes,59,Two year,65.44,3863.12,No
C00309,Male,1,No,No,3,Month-to-month,66.39,189.26,Yes
C00310,Female,1,Yes,Yes,52,Month-to-month,112.44,5837.49,No
C00311,Male,1,Yes,No,23,Month-to-month,69.46,1598.22,No
C00312,Male,1,No,No,71,One year,62.69,4444.43,No
C00313,Female,0,No,No,69,One year,43.51,3001.93,Yes
C00314,Female,0,Yes,No,15,Month-to-month,44.93,683.57,No
C00315,Female,0,No,No,51,One year,34.76,1774.95,No
C00316,Male,0,No,Yes,19,Month-to-month,58.57,1105.41,No
C00317,Female,0,Yes,Yes,67,Month-to-month,88.16,5912.26,Yes
C00318,Female,0,Yes,No,7,Two year,91.24,633.26,No
C00319,Male,0,Yes,Yes,14,Month-to-month,85.7,1206.52,No
C00320,Male,0,No,Yes,70,Month-to-month,84.93,5947.15,Yes
C00321,Male,0,No,No,60,One year,80.66,4833.56,No
C00322,Male,0,Yes,No,15,One year,90.08,1347.38,No
C00323,Male,0,Yes,No,30,Two year,53.19,1588.33,No
C00324,Male,0,No,Yes,51,Month-to-month,84.04,4283.14,No
C00325,Female,0,No,No,13,Month-to-month,60.91,792.09,No
C00326,Female,1,Yes,Yes,53,Month-to-month,65.42,3469.4,Yes
C00327,Male,0,Yes,Yes,66,Month-to-month,82.05,5419.81,Yes
C00328,Male,0,No,No,3,Month-to-month,111.85,331.77,Yes
C00329,Male,0,No,No,63,One year,58.68,3694.92,No
C00330,Female,0,Yes,No,28,Month-to-month,100.7,2818.36,No
C00331,Female,0,No,No,39,Two year,37.04,1437.97,No
C00332,Female,0,No,No,62,Month-to-month,88.85,5516.99,No
C00333,Female,0,No,Yes,40,Month-to-month,119.72,4783.7,Yes
C00334,Female,0,Yes,No,18,One year,85.36,1532.68,No
C00335,Male,0,No,No,9,Month-to-month,64.34,583.33,No
C00336,Male,0,Yes,No,51,Month-to-month,55.76,2835.81,Yes
C00337,Male,0,Yes,Yes,18,Month-to-month,49.1,878.0,Yes
C00338,Female,0,Yes,Yes,59,Month-to-month,103.5,6108.96,Yes
C00339,Male,0,No,No,26,Month-to-month,65.95,1720.54,No
C00340,Female,0,No,No,28,Month-to-month,46.18,1285.68,No
C00341,Female,0,Yes,Yes,2,Month-to-month,99.74,203.11,No
C00342,Female,0,Yes,Yes,25,One year,48.99,1217.57,No
C00343,Male,1,Yes,Yes,72,Month-to-month,27.34,1970.59,No
C00344,Male,1,Yes,Yes,54,Month-to-month,65.04,3520.54,Yes
C00345,Female,0,No,No,31,Two year,107.66,3334.87,No
C00346,Male,0,No,No,17,One year,23.91,413.94,No
C00347,Male,0,No,Yes,12,Month-to-month,36.77,445.17,No
C00348,Female,0,Yes,Yes,21,Two year,70.36,1483.69,No
C00349,Female,0,Yes,Yes,38,Month-to-month,82.85,3152.58,Yes
C00350,Male,0,No,No,12,One year,38.48,467.0,No
C00351,Male,0,Yes,No,30,Month-to-month,84.61,2530.79,No
C00352,Female,0,No,No,47,Month-to-month,27.56,1291.4,Yes
C00353,Male,0,No,No,40,Two year,108.83,4350.69,No
C00354,Female,0,Yes,No,67,Two year,103.61,6943.34,No
C00355,Female,0,No,No,17,One year,40.71,694.12,No
C00356,Female,0,No,No,29,Month-to-month,80.15,2315.27,No
C00357,Male,0,Yes,No,8,Two year,97.15,775.85,No
C00358,Female,1,Yes,Yes,27,Month-to-month,34.38,922.34,Yes
C00359,Male,1,No,Yes,27,One year,25.09,672.61,Yes
C00360,Female,0,Yes,Yes,4,One year,42.88,162.5,No
C00361,Female,1,Yes,No,51,Month-to-month,113.98,5803.09,No
C00362,Female,1,Yes,No,45,Month-to-month,70.4,3173.08,Yes
C00363,Male,0,No,No,13,Month-to-month,75.7,989.47,No
C00364,Female,0,No,No,38,Month-to-month,92.48,3504.38,Yes
C00365,Male,0,Yes,No,17,Month-to-month,39.51,662.41,No
C00366,Female,0,No,Yes,53,Month-to-month,69.89,3698.18,Yes
C00367,Female,1,No,Yes,42,Month-to-month,64.72,2715.33,Yes
C00368,Male,0,Yes,Yes,42,Two year,63.05,2641.27,No
C00369,Male,0,Yes,Yes,51,Two year,115.6,5893.93,No
C00370,Male,0,No,No,37,Month-to-month,110.66,4102.19,No
C00371,Male,0,No,Yes,54,One year,103.8,5599.57,No
C00372,Male,0,No,No,6,Month-to-month,44.0,271.97,No
C00373,Female,0,Yes,No,45,Two year,113.74,5123.46,No
C00374,Male,1,No,No,1,Month-to-month,79.82,76.04,No
C00375,Female,0,Yes,Yes,49,Two year,36.05,1772.81,No
C00376,Female,0,Yes,No,55,One year,35.62,1959.1,Yes
C00377,Female,1,Yes,Yes,45,One year,41.08,1850.41,No
C00378,Male,0,No,No,4,Month-to-month,45.21,171.71,Yes
C00379,Male,1,Yes,Yes,71,Month-to-month,113.53,8052.38,Yes
C00380,Female,0,No,No,49,One year,91.81,4501.41,Yes
C00381,Female,0,No,Yes,14,Month-to-month,113.98,1597.8,Yes
C00382,Male,1,Yes,Yes,15,One year,61.31,917.81,No
C00383,Female,0,Yes,No,63,Month-to-month,56.13,3529.89,Yes
C00384,Male,0,Yes,Yes,35,Month-to-month,103.89,3641.65,No
C00385,Female,0,No,No,40,Month-to-month,66.21,2649.65,Yes
C00386,Female,1,No,Yes,60,Month-to-month,26.27,1585.15,Yes
C00387,Female,0,Yes,No,14,Month-to-month,32.01,455.44,Yes
C00388,Female,0,No,Yes,61,Month-to-month,88.19,5382.23,No
C00389,Female,0,Yes,No,39,One year,105.94,4121.99,No
C00390,Female,0,No,No,53,Month-to-month,56.12,2984.02,No
C00391,Male,0,Yes,No,56,One year,60.28,3368.79,No
C00392,Male,0,No,No,43,One year,40.58,1738.04,No
C00393,Female,0,Yes,No,16,Month-to-month,119.06,1906.12,No
C00394,Female,0,Yes,Yes,43,Month-to-month,31.8,1368.4,Yes
C00395,Male,0,No,Yes,33,Month-to-month,82.44,2715.45,No
C00396,Male,1,No,Yes,53,One year,75.55,4004.54,No
C00397,Female,1,Yes,Yes,4,Two year,26.75,109.7,No
C00398,Male,0,No,Yes,4,Two year,88.71,357.61,No
C00399,Female,0,Yes,Yes,61,Month-to-month,88.66,5406.38,No
C00400,Male,0,Yes,Yes,6,One year,108.91,659.71,No
C00401,Female,0,No,No,32,Month-to-month,113.81,3641.36,Yes
C00402,Male,0,Yes,Yes,22,Month-to-month,116.17,2555.72,No
C00403,Male,0,No,No,43,Two year,49.49,2120.14,No
C00404,Male,0,Yes,Yes,18,Two year,31.3,557.63,No
C00405,Female,0,Yes,Yes,21,Month-to-month,27.8,593.08,Yes
C00406,Male,0,No,Yes,55,Two year,48.75,2687.37,No
C00407,Female,0,No,No,69,Month-to-month,69.47,4797.49,No
C00408,Female,0,No,Yes,47,Two year,76.86,3614.19,No
C00409,Male,1,Yes,Yes,2,Month-to-month,45.42,97.7,No
C00410,Female,0,No,Yes,64,One year,101.59,6510.46,Yes
C00411,Female,0,Yes,Yes,16,One year,46.5,748.15,No
